file_id,innings,max_partnership,total_partnerships,avg_partnership,partnerships_50plus,partnerships_100plus
1136572,2,57,6,32.166666666666664,2,0
1136573,1,61,9,22.22222222222222,2,0
1136573,2,62,10,12.9,1,0
1136574,1,108,7,30.428571428571427,1,1
1136574,2,40,9,18.555555555555557,0,0
1136575,1,54,9,17.77777777777778,1,0
1136575,2,69,4,40.75,2,0
1136576,1,85,4,48.25,2,0
1136576,2,76,6,29.666666666666668,1,0
1136577,1,81,6,34.0,2,0
1136577,2,45,10,14.0,0,0
1136578,1,72,8,23.875,2,0
1136578,2,116,2,63.0,1,1
1136579,1,75,6,29.0,2,0
1136579,2,63,5,35.2,2,0
1136580,1,112,4,45.5,1,1
1136580,2,79,7,25.428571428571427,1,0
1136581,1,129,8,20.875,1,1
1136581,2,72,8,21.0,1,0
1136582,1,36,8,17.875,0,0
1136582,2,47,8,17.375,0,0
1136583,1,24,10,11.8,0,0
1136583,2,40,10,8.7,0,0
1136584,1,103,9,22.77777777777778,1,1
1136584,2,101,6,34.5,1,1
1136585,1,52,6,22.0,1,0
1136585,2,55,10,11.9,1,0
1136586,1,73,5,43.8,3,0
1136586,2,64,10,16.4,1,0
1136587,1,71,6,28.166666666666668,1,0
1136587,2,69,3,56.666666666666664,2,0
1136588,1,92,8,18.875,1,0
1136588,2,59,7,20.0,1,0
1136589,1,67,5,35.0,2,0
1136589,2,59,6,29.333333333333332,1,0
1136590,1,102,5,42.2,2,1
1136590,2,88,6,33.0,1,0
1136591,1,60,8,20.875,1,0
1136591,2,56,8,19.125,1,0
1136592,1,92,6,32.666666666666664,2,0
1136592,2,82,6,24.333333333333332,1,0
1136593,1,54,6,29.5,1,0
1136593,2,83,5,36.0,1,0
1136594,1,54,7,24.857142857142858,1,0
1136594,2,56,5,35.2,1,0
1136595,1,38,9,14.11111111111111,0,0
1136595,2,48,5,25.6,0,0
1136596,1,86,6,27.166666666666668,1,0
1136596,2,76,4,41.0,1,0
1136597,1,91,5,36.2,1,0
1136597,2,84,7,24.0,1,0
1136598,1,49,9,16.88888888888889,0,0
1136598,2,68,5,31.0,2,0
1136599,1,64,10,14.6,1,0
1136599,2,57,6,23.5,1,0
1136600,1,53,8,19.75,1,0
1136600,2,46,8,17.875,0,0
1136601,1,82,7,30.0,1,0
1136601,2,28,10,10.8,0,0
1136602,1,63,6,31.166666666666668,2,0
1136602,2,176,2,95.5,1,1
1136603,1,86,5,35.2,2,0
1136603,2,48,7,25.285714285714285,0,0
1136604,1,76,7,35.0,3,0
1136604,2,57,9,23.77777777777778,2,0
1136605,1,93,5,36.2,2,0
1136605,2,118,6,31.166666666666668,1,1
1136606,1,123,5,35.8,1,1
1136606,2,134,3,60.0,1,1
1136607,1,87,7,24.0,1,0
1136607,2,95,4,42.75,2,0
1136608,1,36,10,8.8,0,0
1136608,2,92,1,92.0,1,0
1136609,1,63,10,14.2,1,0
1136609,2,48,5,29.0,0,0
1136610,1,65,9,20.666666666666668,1,0
1136610,2,111,6,30.5,1,1
1136611,1,107,7,31.142857142857142,1,1
1136611,2,135,4,51.0,1,1
1136612,1,65,6,27.0,2,0
1136612,2,46,7,18.285714285714285,0,0
1136613,1,99,5,32.8,1,0
1136613,2,55,10,13.4,1,0
1136614,1,79,9,19.11111111111111,1,0
1136614,2,67,6,28.833333333333332,2,0
1136615,1,64,5,34.8,1,0
1136615,2,45,10,16.3,0,0
1136616,1,60,10,15.3,1,0
1136616,2,56,6,26.5,1,0
1136617,1,51,7,19.857142857142858,1,0
1136617,2,30,9,15.555555555555555,0,0
1136618,1,55,8,21.125,1,0
1136618,2,62,5,28.8,1,0
1136619,1,56,8,21.75,1,0
1136619,2,47,10,16.0,0,0
1136620,1,51,6,29.666666666666668,1,0
1136620,2,117,3,60.333333333333336,1,1
1175356,1,16,10,7.0,0,0
1175356,2,32,4,17.75,0,0
1175357,1,118,4,45.25,1,1
1175357,2,80,5,36.6,2,0
1175358,1,83,7,30.428571428571427,1,0
1175358,2,50,9,19.555555555555557,1,0
1175359,1,84,5,36.8,2,0
1175359,2,78,10,17.0,1,0
1175360,1,43,7,21.0,0,0
1175360,2,52,5,30.0,1,0
1175361,1,110,5,43.6,2,1
1175361,2,74,5,38.0,2,0
1175362,1,54,9,20.77777777777778,1,0
1175362,2,49,6,30.166666666666668,0,0
1175363,1,119,3,66.0,2,1
1175363,2,110,6,33.5,1,1
1175364,1,58,8,22.0,2,0
1175364,2,64,3,59.0,3,0
1175365,1,95,8,23.125,1,0
1175365,2,89,6,30.833333333333332,2,0
1175366,1,185,3,77.0,1,1
1175366,2,51,10,11.3,1,0
1175367,1,61,6,29.166666666666668,2,0
1175367,2,61,9,18.555555555555557,1,0
1175368,1,62,10,16.6,1,0
1175368,2,62,10,15.2,2,0
1175369,1,53,5,31.6,1,0
1175369,2,60,4,41.0,2,0
1175370,1,62,6,28.333333333333332,1,0
1175370,2,54,9,14.777777777777779,1,0
1175371,1,22,9,14.333333333333334,0,0
1175371,2,64,6,21.833333333333332,1,0
1175372,1,108,4,51.25,2,1
1175372,2,65,6,34.333333333333336,2,0
1178393,1,60,4,40.0,2,0
1178393,2,110,6,23.0,1,1
1178394,1,39,8,17.0,0,0
1178394,2,33,10,9.6,0,0
1178395,1,37,9,16.555555555555557,0,0
1178395,2,68,7,21.714285714285715,1,0
1178396,1,72,4,34.75,1,0
1178396,2,91,3,46.666666666666664,1,0
1178397,1,55,5,30.0,1,0
1178397,2,114,5,30.2,1,1
1178398,1,29,10,10.8,0,0
1178398,2,46,4,27.75,0,0
1178399,1,116,5,39.4,1,1
1178399,2,54,8,24.75,1,0
1178400,1,31,8,18.875,0,0
1178400,2,95,7,22.142857142857142,1,0
1178401,1,63,8,22.25,1,0
1178401,2,105,4,45.0,1,1
1178402,1,96,6,31.166666666666668,1,0
1178402,2,87,7,26.857142857142858,2,0
1178403,1,66,5,34.6,2,0
