season,batter,bat_balls,bat_runs,strike_rate,bat_score
2008,A Chopra,55,42,76.36363636363637,50.909090909090914
2008,A Mishra,42,37,88.09523809523809,58.73015873015872
2008,A Symonds,111,161,145.04504504504504,96.69669669669669
2008,AB Agarkar,49,54,110.20408163265304,73.46938775510203
2008,AB de Villiers,100,95,95.0,63.33333333333333
2008,AC Gilchrist,328,436,132.9268292682927,88.6178861788618
2008,AM Nayar,142,206,145.07042253521126,96.71361502347418
2008,AS Yadav,40,49,122.50000000000001,81.66666666666667
2008,B Akhil,32,46,143.75,95.83333333333334
2008,B Chipli,30,20,66.66666666666666,44.444444444444436
2008,BB McCullum,96,188,195.83333333333331,100.0
2008,CK Kapugedera,24,16,66.66666666666666,44.444444444444436
2008,CL White,105,114,108.57142857142857,72.38095238095238
2008,D Salunkhe,24,33,137.5,91.66666666666666
2008,DB Das,95,103,108.42105263157895,72.28070175438597
2008,DB Ravi Teja,85,109,128.23529411764707,85.49019607843138
2008,DJ Bravo,137,178,129.92700729927006,86.61800486618004
2008,DJ Hussey,267,319,119.47565543071161,79.65043695380774
2008,DJ Thornely,54,39,72.22222222222221,48.148148148148145
2008,DPMD Jayawardene,138,179,129.71014492753622,86.47342995169082
2008,DR Smith,41,45,109.75609756097562,73.17073170731709
2008,G Gambhir,394,534,135.53299492385787,90.35532994923858
2008,GC Smith,375,441,117.6,78.39999999999999
2008,HH Gibbs,159,167,105.0314465408805,70.020964360587
2008,IK Pathan,120,131,109.16666666666666,72.77777777777777
2008,J Arunkumar,24,23,95.83333333333334,63.88888888888889
2008,JA Morkel,168,241,143.45238095238096,95.63492063492063
2008,JH Kallis,188,199,105.85106382978724,70.56737588652481
2008,JR Hopes,152,221,145.39473684210526,96.9298245614035
2008,K Goel,79,76,96.20253164556962,64.13502109704642
2008,KC Sangakkara,207,320,154.58937198067633,100.0
2008,KD Karthik,108,145,134.25925925925927,89.50617283950618
2008,Kamran Akmal,78,128,164.1025641025641,100.0
2008,L Ronchi,34,34,100.0,66.66666666666666
2008,LA Pomersbach,101,152,150.4950495049505,100.0
2008,LPC Silva,27,40,148.14814814814815,98.76543209876544
2008,LR Shukla,127,163,128.3464566929134,85.56430446194227
2008,LRPL Taylor,85,149,175.2941176470588,100.0
2008,M Kaif,176,176,100.0,66.66666666666666
2008,M Kartik,28,30,107.14285714285714,71.42857142857143
2008,M Rawat,39,34,87.17948717948718,58.119658119658126
2008,MA Khote,22,24,109.09090909090908,72.72727272727272
2008,MEK Hussey,100,168,168.0,100.0
2008,MF Maharoof,79,125,158.22784810126583,100.0
2008,MK Tiwary,87,104,119.54022988505749,79.69348659003832
2008,ML Hayden,135,189,140.0,93.33333333333333
2008,MS Dhoni,319,414,129.7805642633229,86.52037617554859
2008,MS Gony,25,35,140.0,93.33333333333333
2008,MV Boucher,181,225,124.30939226519338,82.8729281767956
2008,Misbah-ul-Haq,82,117,142.6829268292683,95.1219512195122
2008,Mohammad Hafeez,84,64,76.19047619047619,50.79365079365079
2008,NK Patel,83,103,124.09638554216869,82.73092369477912
2008,P Kumar,100,112,112.00000000000001,74.66666666666669
2008,PA Patel,315,302,95.87301587301587,63.91534391534391
2008,PP Chawla,61,90,147.54098360655738,98.36065573770492
2008,PR Shah,38,34,89.47368421052632,59.64912280701754
2008,R Bhatia,28,34,121.42857142857142,80.95238095238095
2008,R Dravid,299,371,124.08026755852843,82.7201783723523
2008,R Vinay Kumar,28,25,89.28571428571429,59.523809523809526
2008,RA Jadeja,108,135,125.0,83.33333333333334
2008,RG Sharma,276,404,146.3768115942029,97.58454106280193
2008,RP Singh,25,27,108.0,72.0
2008,RR Powar,21,28,133.33333333333331,88.88888888888887
2008,RR Sarwan,78,73,93.58974358974359,62.39316239316239
2008,RT Ponting,53,39,73.58490566037736,49.056603773584904
2008,RV Uthappa,291,320,109.96563573883162,73.31042382588775
2008,S Badrinath,138,192,139.1304347826087,92.75362318840578
2008,S Chanderpaul,33,25,75.75757575757575,50.5050505050505
2008,S Dhawan,308,340,110.3896103896104,73.5930735930736
2008,S Vidyut,115,145,126.08695652173914,84.05797101449276
2008,SA Asnodkar,241,311,129.04564315352698,86.03042876901799
2008,SB Bangar,49,47,95.91836734693877,63.94557823129251
2008,SB Styris,124,112,90.32258064516128,60.21505376344085
2008,SC Ganguly,324,349,107.71604938271604,71.81069958847736
2008,SE Marsh,452,616,136.28318584070794,90.85545722713863
2008,SK Raina,304,421,138.48684210526315,92.32456140350877
2008,SK Warne,60,70,116.66666666666667,77.77777777777779
2008,SM Katich,72,96,133.33333333333331,88.88888888888887
2008,SM Pollock,116,147,126.72413793103448,84.48275862068965
2008,SP Fleming,171,196,114.61988304093566,76.41325536062378
2008,SP Goswami,86,82,95.34883720930233,63.565891472868216
2008,SR Tendulkar,189,188,99.47089947089947,66.31393298059965
2008,SR Watson,322,472,146.58385093167703,97.72256728778468
2008,SS Tiwary,20,26,130.0,86.66666666666667
2008,ST Jayasuriya,333,514,154.35435435435437,100.0
2008,Salman Butt,172,193,112.20930232558139,74.8062015503876
2008,Shahid Afridi,46,81,176.08695652173913,100.0
2008,Shoaib Malik,49,52,106.12244897959184,70.74829931972789
2008,Sohail Tanvir,31,36,116.12903225806453,77.41935483870968
2008,T Taibu,26,31,119.23076923076923,79.48717948717949
2008,TM Dilshan,79,104,131.64556962025316,87.76371308016877
2008,V Kohli,168,165,98.21428571428571,65.47619047619048
2008,V Sehwag,229,406,177.29257641921396,100.0
2008,VVS Laxman,134,155,115.67164179104476,77.11442786069651
2008,VY Mahesh,28,15,53.57142857142857,35.714285714285715
2008,W Jaffer,110,115,104.54545454545455,69.6969696969697
2008,WA Mota,28,26,92.85714285714286,61.904761904761905
2008,WP Saha,119,159,133.61344537815125,89.07563025210084
2008,Y Venugopal Rao,217,288,132.7188940092166,88.47926267281106
2008,YK Pathan,253,435,171.93675889328063,100.0
2008,YV Takawale,69,70,101.44927536231884,67.6328502415459
2008,Yuvraj Singh,191,299,156.54450261780104,100.0
2008,Z Khan,43,34,79.06976744186046,52.71317829457364
2009,A Chopra,20,11,55.00000000000001,36.66666666666667
2009,A Flintoff,57,62,108.77192982456141,72.51461988304094
2009,A Kumble,20,16,80.0,53.333333333333336
2009,A Mishra,20,26,130.0,86.66666666666667
2009,A Symonds,171,249,145.61403508771932,97.07602339181288
2009,AA Bilakhia,84,67,79.76190476190477,53.174603174603185
2009,AB Agarkar,58,66,113.79310344827587,75.86206896551725
2009,AB de Villiers,359,465,129.52646239554318,86.35097493036213
2009,AC Gilchrist,337,495,146.88427299703264,97.92284866468842
2009,AD Mascarenhas,39,39,100.0,66.66666666666666
