season,bowler,bowl_balls,bowl_runs,bowl_wkts,economy,wkts_per_6,econ_score,wkt_score,bowl_score
2008,A Kumble,236,314,8,7.983050847457627,0.2033898305084746,0.3361581920903955,0.1016949152542373,21.89265536723164
2008,A Mishra,123,140,11,6.829268292682927,0.5365853658536586,0.5284552845528455,0.2682926829268293,39.83739837398374
2008,A Nehra,280,357,14,7.6499999999999995,0.30000000000000004,0.3916666666666668,0.15000000000000002,27.083333333333336
2008,A Nel,18,31,1,10.333333333333334,0.3333333333333333,0.0,0.16666666666666666,8.333333333333332
2008,A Symonds,44,106,0,14.454545454545455,0.0,0.0,0.0,0.0
2008,AA Noffke,25,41,1,9.84,0.24,0.02666666666666669,0.12,7.333333333333335
2008,AB Agarkar,168,211,8,7.535714285714286,0.2857142857142857,0.41071428571428575,0.14285714285714285,27.67857142857143
2008,AB Dinda,245,266,11,6.514285714285714,0.2693877551020408,0.580952380952381,0.1346938775510204,35.78231292517007
2008,AD Mascarenhas,25,31,2,7.4399999999999995,0.48,0.42666666666666675,0.24,33.333333333333336
2008,AM Nayar,43,69,1,9.627906976744185,0.13953488372093023,0.0620155038759691,0.06976744186046512,6.589147286821712
2008,Abdur Razzak,14,29,0,12.42857142857143,0.0,0.0,0.0,0.0
2008,B Akhil,105,138,3,7.885714285714286,0.17142857142857143,0.3523809523809523,0.08571428571428572,21.904761904761898
2008,B Geeves,49,91,2,11.142857142857142,0.24489795918367346,0.0,0.12244897959183673,6.122448979591836
2008,B Lee,99,118,5,7.1515151515151505,0.30303030303030304,0.4747474747474749,0.15151515151515152,31.313131313131322
2008,BAW Mendis,24,24,1,6.0,0.25,0.6666666666666666,0.125,39.58333333333333
2008,CK Kapugedera,17,49,0,17.294117647058822,0.0,0.0,0.0,0.0
2008,CRD Fernando,128,164,12,7.6875,0.5625,0.3854166666666667,0.28125,33.333333333333336
2008,D Kalyankrishna,50,88,2,10.56,0.24,0.0,0.12,6.0
2008,D Salunkhe,51,80,1,9.411764705882353,0.11764705882352941,0.09803921568627445,0.058823529411764705,7.843137254901958
2008,DB Ravi Teja,12,19,1,9.5,0.5,0.08333333333333333,0.25,16.666666666666664
2008,DJ Bravo,181,239,11,7.922651933701658,0.3646408839779005,0.34622467771639026,0.18232044198895025,26.427255985267028
2008,DJ Hussey,79,134,3,10.177215189873417,0.22784810126582278,0.0,0.11392405063291139,5.69620253164557
2008,DJ Thornely,44,40,3,5.454545454545454,0.40909090909090906,0.7575757575757577,0.20454545454545453,48.10606060606061
2008,DL Vettori,48,54,2,6.75,0.25,0.5416666666666666,0.125,33.33333333333333
2008,DNT Zoysa,69,100,2,8.695652173913043,0.17391304347826086,0.21739130434782616,0.08695652173913043,15.21739130434783
2008,DP Vijaykumar,159,205,4,7.735849056603773,0.15094339622641512,0.3773584905660378,0.07547169811320756,22.64150943396227
2008,DR Smith,69,83,5,7.217391304347826,0.4347826086956522,0.463768115942029,0.2173913043478261,34.05797101449276
2008,DS Kulkarni,193,242,13,7.523316062176166,0.40414507772020725,0.41278065630397237,0.20207253886010362,30.7426597582038
2008,DW Steyn,247,265,13,6.437246963562753,0.3157894736842105,0.5937921727395411,0.15789473684210525,37.584345479082316
2008,GD McGrath,329,366,14,6.674772036474164,0.2553191489361702,0.5542046605876393,0.1276595744680851,34.09321175278622
2008,Gagandeep Singh,84,142,3,10.142857142857142,0.21428571428571427,0.0,0.10714285714285714,5.357142857142857
2008,Harbhajan Singh,62,84,6,8.129032258064516,0.5806451612903225,0.3118279569892473,0.29032258064516125,30.107526881720425
2008,I Sharma,266,348,7,7.849624060150376,0.15789473684210525,0.3583959899749374,0.07894736842105263,21.867167919799503
2008,IK Pathan,336,361,20,6.446428571428571,0.3571428571428571,0.5922619047619048,0.17857142857142855,38.541666666666664
2008,Iqbal Abdulla,18,22,1,7.333333333333334,0.3333333333333333,0.44444444444444436,0.16666666666666666,30.555555555555554
2008,JA Morkel,310,414,20,8.01290322580645,0.3870967741935484,0.3311827956989249,0.1935483870967742,26.236559139784955
2008,JDP Oram,100,149,6,8.94,0.36,0.17666666666666675,0.18,17.833333333333336
2008,JH Kallis,211,322,4,9.156398104265403,0.1137440758293839,0.1406003159557662,0.05687203791469195,9.873617693522906
2008,JR Hopes,171,285,7,10.0,0.24561403508771928,0.0,0.12280701754385964,6.140350877192982
2008,Joginder Sharma,158,241,9,9.151898734177214,0.34177215189873417,0.1413502109704643,0.17088607594936708,15.61181434599157
2008,K Goel,12,25,0,12.5,0.0,0.0,0.0,0.0
2008,L Balaji,205,293,11,8.57560975609756,0.32195121951219513,0.23739837398374006,0.16097560975609757,19.91869918699188
2008,LR Shukla,78,126,6,9.692307692307693,0.46153846153846156,0.0512820512820511,0.23076923076923078,14.102564102564093
2008,M Kartik,89,132,5,8.898876404494382,0.33707865168539325,0.18352059925093625,0.16853932584269662,17.602996254681642
2008,M Muralitharan,369,416,11,6.764227642276422,0.17886178861788618,0.5392953929539296,0.08943089430894309,31.436314363143637
2008,M Ntini,213,257,8,7.23943661971831,0.22535211267605634,0.460093896713615,0.11267605633802817,28.638497652582156
2008,MA Khote,30,52,2,10.4,0.4,0.0,0.2,10.0
2008,MF Maharoof,226,255,19,6.76991150442478,0.504424778761062,0.5383480825958701,0.252212389380531,39.52802359882005
2008,MM Patel,336,423,16,7.553571428571429,0.2857142857142857,0.4077380952380952,0.14285714285714285,27.5297619047619
2008,MS Gony,371,456,18,7.374663072776281,0.2911051212938005,0.4375561545372865,0.14555256064690025,29.155435759209336
2008,Mohammad Asif,199,307,9,9.256281407035175,0.271356783919598,0.12395309882747085,0.135678391959799,12.981574539363494
2008,Mohammad Hafeez,63,71,2,6.761904761904762,0.19047619047619047,0.5396825396825397,0.09523809523809523,31.746031746031743
2008,P Amarnath,132,241,7,10.954545454545453,0.3181818181818182,0.0,0.1590909090909091,7.954545454545454
2008,P Kumar,275,376,12,8.203636363636363,0.26181818181818184,0.2993939393939395,0.13090909090909092,21.51515151515152
2008,PJ Sangwan,155,221,7,8.55483870967742,0.27096774193548384,0.24086021505376345,0.13548387096774192,18.817204301075268
2008,PM Sarvesh Kumar,31,42,1,8.129032258064516,0.1935483870967742,0.3118279569892473,0.0967741935483871,20.43010752688172
2008,PP Chawla,286,396,19,8.307692307692307,0.3986013986013986,0.2820512820512822,0.1993006993006993,24.067599067599076
2008,PP Ojha,236,299,11,7.601694915254237,0.2796610169491526,0.39971751412429385,0.1398305084745763,26.977401129943505
2008,Pankaj Singh,76,129,0,10.18421052631579,0.0,0.0,0.0,0.0
2008,R Bhatia,134,185,9,8.28358208955224,0.40298507462686567,0.2860696517412933,0.20149253731343283,24.378109452736307
2008,R Vinay Kumar,141,183,7,7.787234042553191,0.2978723404255319,0.36879432624113484,0.14893617021276595,25.88652482269504
2008,RA Jadeja,13,21,1,9.692307692307693,0.46153846153846156,0.0512820512820511,0.23076923076923078,14.102564102564093
2008,RG Sharma,25,26,1,6.24,0.24,0.6266666666666666,0.12,37.33333333333333
2008,RP Singh,325,459,17,8.473846153846154,0.31384615384615383,0.2543589743589744,0.15692307692307692,20.564102564102566
2008,RR Powar,77,93,3,7.246753246753247,0.23376623376623376,0.4588744588744588,0.11688311688311688,28.787878787878785
2008,RR Raje,102,142,6,8.352941176470587,0.3529411764705882,0.2745098039215688,0.1764705882352941,22.549019607843146
2008,S Sreesanth,332,451,19,8.150602409638555,0.3433734939759036,0.30823293172690747,0.1716867469879518,23.995983935742967
2008,S Vidyut,13,22,1,10.153846153846153,0.46153846153846156,0.0,0.23076923076923078,11.538461538461538
2008,SB Bangar,153,221,6,8.666666666666666,0.23529411764705882,0.22222222222222232,0.11764705882352941,16.99346405228759
2008,SB Joshi,55,82,1,8.945454545454545,0.10909090909090909,0.17575757575757578,0.05454545454545454,11.515151515151516
2008,SB Styris,167,201,4,7.221556886227545,0.14371257485029942,0.46307385229540915,0.07185628742514971,26.74650698602794
2008,SC Ganguly,121,132,7,6.545454545454545,0.34710743801652894,0.5757575757575758,0.17355371900826447,37.46556473829201
2008,SD Chitnis,38,62,2,9.789473684210526,0.3157894736842105,0.03508771929824572,0.15789473684210525,9.649122807017548
2008,SK Raina,20,30,2,9.0,0.6000000000000001,0.16666666666666666,0.30000000000000004,23.333333333333332
