team,phase,wicket_bucket,role,matches,wins,win_rate
Sunrisers Hyderabad,middle,0,bat_second,9,9,1.0
Sunrisers Hyderabad,middle,1,bat_second,19,12,0.631578947368421
Sunrisers Hyderabad,middle,2,bat_second,29,16,0.5517241379310345
Sunrisers Hyderabad,middle,3,bat_second,36,9,0.25
Sunrisers Hyderabad,pp,0,bat_first,25,17,0.68
Sunrisers Hyderabad,pp,1,bat_first,40,15,0.375
Sunrisers Hyderabad,pp,2,bat_first,20,9,0.45
Sunrisers Hyderabad,pp,3,bat_first,17,6,0.35294117647058826
Sunrisers Hyderabad,pp,0,bat_second,27,19,0.7037037037037037
Sunrisers Hyderabad,pp,1,bat_second,27,16,0.5925925925925926
Sunrisers Hyderabad,pp,2,bat_second,28,11,0.39285714285714285
Sunrisers Hyderabad,pp,3,bat_second,11,0,0.0
