full_name,data_name,team_2026,role,venue,venue_bat_innings,venue_runs,venue_balls,venue_bat_avg,venue_bat_sr,venue_bowl_innings,venue_wickets,venue_econ,venue_bowl_sr,venue_bat_score,venue_bowl_score
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"M Chinnaswamy Stadium, Bengaluru",2,23,15,11.5,153.33,,,,,65.5,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"MA Chidambaram Stadium, Chennai",4,80,73,20.0,109.59,,,,,61.5,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"Maharashtra Cricket Association Stadium, Pune",2,11,16,5.5,68.75,,,,,29.8,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"Narendra Modi Stadium, Ahmedabad",1,48,21,48.0,228.57,,,,,136.2,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,6,13,3.0,46.15,,,,,19.1,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,Rajiv Gandhi International Stadium,1,30,25,30.0,120.0,,,,,77.5,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,46,35,46.0,131.43,,,,,101.3,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,Sharjah Cricket Stadium,,,,,,,,,,,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,Sheikh Zayed Stadium,,,,,,,,,,,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"Wankhede Stadium, Mumbai",6,113,85,18.83,132.94,,,,,67.9,
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Arun Jaitley Stadium, Delhi",7,94,54,13.43,174.07,10,15,8.45,15.2,74.8,56.9
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,81,39,81.0,207.69,1,1,5.5,24.0,170.5,
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Brabourne Stadium, Mumbai",2,10,4,5.0,250.0,3,4,5.83,18.0,89.6,83.3
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Dr DY Patil Sports Academy, Mumbai",4,38,21,9.5,180.95,4,1,5.75,96.0,72.2,56.2
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,85,39,85.0,217.95,2,1,8.62,48.0,178.9,29.8
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,Dubai International Cricket Stadium,5,27,28,5.4,96.43,7,5,7.0,33.6,38.9,55.4
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",41,698,427,17.02,163.47,65,77,6.67,19.3,75.8,71.2
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"M Chinnaswamy Stadium, Bengaluru",7,151,81,21.57,186.42,10,5,8.25,48.0,89.1,34.4
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"MA Chidambaram Stadium, Chennai",5,95,49,19.0,193.88,9,13,6.17,16.3,88.4,84.0
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Maharashtra Cricket Association Stadium, Pune",2,23,14,11.5,164.29,3,2,6.75,36.0,69.1,57.3
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Narendra Modi Stadium, Ahmedabad",4,21,22,5.25,95.45,5,9,8.0,13.3,38.4,70.0
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,31,18,7.75,172.22,7,12,7.04,13.5,67.1,79.9
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,Rajiv Gandhi International Stadium,2,54,18,27.0,300.0,2,1,7.5,48.0,133.8,43.8
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,1,2,1.0,50.0,1,0,8.0,,17.9,
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Sawai Mansingh Stadium, Jaipur",4,84,53,21.0,158.49,4,2,8.25,48.0,79.1,34.4
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,Sharjah Cricket Stadium,5,56,35,11.2,160.0,7,9,6.46,17.3,67.3,76.4
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,Sheikh Zayed Stadium,6,97,62,16.17,156.45,8,12,7.16,16.0,72.4,73.0
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Wankhede Stadium, Mumbai",10,38,41,3.8,92.68,16,17,6.93,21.6,35.6,64.9
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Zayed Cricket Stadium, Abu Dhabi",1,0,1,0.0,0.0,3,4,6.92,18.0,0.0,71.8
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Arun Jaitley Stadium, Delhi",2,2,7,1.0,28.57,3,4,10.36,16.5,10.8,33.3
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Barsapara Cricket Stadium, Guwahati",,,,,,1,2,4.25,12.0,,
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,1,3,10.0,6.0,,
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Brabourne Stadium, Mumbai",2,2,2,1.0,100.0,3,1,13.67,54.0,34.6,8.3
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Dr DY Patil Sports Academy, Mumbai",1,10,16,10.0,62.5,4,2,8.64,42.0,33.3,29.5
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,1,3,9.5,8.0,,
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,Dubai International Cricket Stadium,,,,,,6,10,6.5,14.4,,85.4
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",1,0,3,0.0,0.0,22,30,8.76,16.9,0.0,49.6
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"M Chinnaswamy Stadium, Bengaluru",,,,,,2,3,7.83,12.0,,64.6
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"MA Chidambaram Stadium, Chennai",1,2,3,2.0,66.67,7,8,7.69,19.5,24.7,57.4
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Maharashtra Cricket Association Stadium, Pune",,,,,,2,2,7.12,24.0,,61.0
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Narendra Modi Stadium, Ahmedabad",,,,,,4,3,7.93,28.0,,44.6
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Punjab Cricket Association IS Bindra Stadium, Mohali",,,,,,2,3,6.0,16.0,,87.5
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,Rajiv Gandhi International Stadium,,,,,,,,,,,
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",,,,,,1,1,6.0,24.0,,
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,Sharjah Cricket Stadium,2,9,14,4.5,64.29,7,5,6.96,33.6,27.1,55.9
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,Sheikh Zayed Stadium,1,1,1,1.0,100.0,7,9,6.54,18.7,34.6,75.4
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Wankhede Stadium, Mumbai",1,0,1,0.0,0.0,7,7,6.22,23.1,0.0,72.2
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Zayed Cricket Stadium, Abu Dhabi",,,,,,3,6,4.83,12.0,,100.0
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Arun Jaitley Stadium, Delhi",2,34,22,17.0,154.55,2,0,13.43,,72.8,0.0
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Barsapara Cricket Stadium, Guwahati",,,,,,1,2,9.0,12.0,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,1,3,7.58,6.3,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Brabourne Stadium, Mumbai",,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Dr DY Patil Sports Academy, Mumbai",,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,Dubai International Cricket Stadium,,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",3,16,17,5.33,94.12,18,25,10.21,14.9,38.0,34.7
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"M Chinnaswamy Stadium, Bengaluru",,,,,,1,2,9.75,12.0,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"MA Chidambaram Stadium, Chennai",,,,,,3,4,5.9,15.0,,83.3
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Maharashtra Cricket Association Stadium, Pune",1,2,1,2.0,200.0,1,0,14.0,,69.2,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Narendra Modi Stadium, Ahmedabad",,,,,,1,1,6.75,24.0,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,3,6,3.0,50.0,1,3,8.67,6.0,20.4,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,Rajiv Gandhi International Stadium,,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,0,1,0.0,0.0,1,1,7.25,24.0,0.0,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,Sharjah Cricket Stadium,,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,Sheikh Zayed Stadium,,,,,,,,,,,
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Wankhede Stadium, Mumbai",2,4,9,2.0,44.44,2,1,10.4,30.0,17.3,12.5
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Arun Jaitley Stadium, Delhi",,,,,,1,0,22.0,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,1,1,11.0,12.0,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Brabourne Stadium, Mumbai",,,,,,3,3,7.92,24.0,,51.0
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Dr DY Patil Sports Academy, Mumbai",1,1,1,1.0,100.0,4,6,9.64,14.0,34.6,42.0
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,Dubai International Cricket Stadium,,,,,,1,0,6.75,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",,,,,,1,1,18.0,12.0,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"M Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"MA Chidambaram Stadium, Chennai",,,,,,1,1,6.0,18.0,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Maharashtra Cricket Association Stadium, Pune",1,3,5,3.0,60.0,3,5,10.25,14.4,23.8,41.7
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Narendra Modi Stadium, Ahmedabad",,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Punjab Cricket Association IS Bindra Stadium, Mohali",,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,Rajiv Gandhi International Stadium,,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,19,8,19.0,237.5,4,3,9.4,20.0,102.9,26.2
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,Sharjah Cricket Stadium,,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,Sheikh Zayed Stadium,,,,,,,,,,,
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Wankhede Stadium, Mumbai",2,0,2,0.0,0.0,5,9,10.16,9.4,0.0,45.0
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Zayed Cricket Stadium, Abu Dhabi",,,,,,2,2,8.62,24.0,,42.3
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Arun Jaitley Stadium, Delhi",1,0,1,0.0,0.0,2,2,9.83,18.0,0.0,27.1
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Barsapara Cricket Stadium, Guwahati",,,,,,1,2,8.25,12.0,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,1,0,10.5,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Brabourne Stadium, Mumbai",3,5,12,1.67,41.67,3,2,8.6,30.0,16.0,34.2
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Dr DY Patil Sports Academy, Mumbai",1,0,1,0.0,0.0,1,0,9.39,,0.0,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,1,3,6.75,8.0,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,Dubai International Cricket Stadium,,,,,,,,,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",1,1,1,1.0,100.0,13,18,10.53,15.0,34.6,34.6
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"M Chinnaswamy Stadium, Bengaluru",,,,,,1,0,12.0,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"MA Chidambaram Stadium, Chennai",1,1,1,1.0,100.0,4,5,7.67,18.0,34.6,60.4
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Maharashtra Cricket Association Stadium, Pune",,,,,,1,2,10.75,12.0,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Narendra Modi Stadium, Ahmedabad",,,,,,1,1,8.5,12.0,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,7,0.0,0.0,1,2,10.4,7.5,0.0,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,Rajiv Gandhi International Stadium,,,,,,,,,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,2,1,2.0,200.0,1,2,11.0,9.0,69.2,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,Sharjah Cricket Stadium,,,,,,,,,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,Sheikh Zayed Stadium,,,,,,,,,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Wankhede Stadium, Mumbai",,,,,,1,0,11.67,,,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Arun Jaitley Stadium, Delhi",1,13,5,13.0,260.0,,,,,102.9,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,25,6,25.0,416.67,,,,,170.1,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Brabourne Stadium, Mumbai",,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Dr DY Patil Sports Academy, Mumbai",1,12,16,12.0,75.0,,,,,40.0,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,2,2,2.0,100.0,,,,,35.8,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,Dubai International Cricket Stadium,,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",9,95,55,10.56,172.73,1,0,13.5,,70.8,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"M Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"MA Chidambaram Stadium, Chennai",1,13,12,13.0,108.33,,,,,52.4,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Maharashtra Cricket Association Stadium, Pune",1,6,12,6.0,50.0,,,,,24.2,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Narendra Modi Stadium, Ahmedabad",,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,1,0.0,0.0,,,,,0.0,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,Rajiv Gandhi International Stadium,,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,Sharjah Cricket Stadium,,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,Sheikh Zayed Stadium,,,,,,,,,,,
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Wankhede Stadium, Mumbai",4,51,28,12.75,182.14,3,6,9.17,6.0,76.7,60.4
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Arun Jaitley Stadium, Delhi",3,22,19,7.33,115.79,,,,,47.8,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Barsapara Cricket Stadium, Guwahati",2,6,7,3.0,85.71,1,1,9.0,12.0,32.3,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1,3,1.0,33.33,,,,,12.4,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Brabourne Stadium, Mumbai",3,75,43,25.0,174.42,1,0,17.0,,89.4,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Dr DY Patil Sports Academy, Mumbai",3,8,25,2.67,32.0,,,,,14.0,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,Dubai International Cricket Stadium,,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",1,26,13,26.0,200.0,,,,,99.2,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"M Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"MA Chidambaram Stadium, Chennai",1,6,12,6.0,50.0,,,,,24.2,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Maharashtra Cricket Association Stadium, Pune",1,20,12,20.0,166.67,,,,,80.6,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Narendra Modi Stadium, Ahmedabad",1,16,8,16.0,200.0,,,,,86.7,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,11,5,11.0,220.0,,,,,87.1,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,Rajiv Gandhi International Stadium,,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,27,15,27.0,180.0,,,,,93.8,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,Sharjah Cricket Stadium,,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,Sheikh Zayed Stadium,,,,,,,,,,,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Wankhede Stadium, Mumbai",5,147,87,29.4,168.97,,,,,93.1,
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Arun Jaitley Stadium, Delhi",1,17,8,17.0,212.5,1,0,10.0,,92.1,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,4,6,4.0,66.67,1,1,8.5,12.0,27.2,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Brabourne Stadium, Mumbai",,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Dr DY Patil Sports Academy, Mumbai",,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,Dubai International Cricket Stadium,,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",1,6,4,6.0,150.0,1,2,9.0,12.0,57.5,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,46,27,46.0,170.37,1,0,16.0,,114.3,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"M Chinnaswamy Stadium, Bengaluru",7,121,82,17.29,147.56,7,5,8.65,20.4,70.8,34.7
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"MA Chidambaram Stadium, Chennai",3,65,49,21.67,132.65,3,3,7.43,14.0,71.3,57.1
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Maharashtra Cricket Association Stadium, Pune",,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Narendra Modi Stadium, Ahmedabad",3,90,67,30.0,134.33,4,2,12.08,36.0,82.3,12.5
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,23,18,23.0,127.78,1,0,7.5,,71.3,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,Rajiv Gandhi International Stadium,,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",2,101,60,50.5,168.33,2,3,7.33,12.0,119.2,70.9
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Sawai Mansingh Stadium, Jaipur",1,5,6,5.0,83.33,1,0,8.53,,34.0,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,Sharjah Cricket Stadium,,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,Sheikh Zayed Stadium,,,,,,,,,,,
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Wankhede Stadium, Mumbai",7,229,133,32.71,172.18,7,4,9.12,24.0,98.3,25.3
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Finn Allen,FA Allen,Kolkata Knight Riders,batter,"Arun Jaitley Stadium, Delhi",,,,,,,,,,,
Finn Allen,FA Allen,Kolkata Knight Riders,batter,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Finn Allen,FA Allen,Kolkata Knight Riders,batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,
Finn Allen,FA Allen,Kolkata Knight Riders,batter,"Brabourne Stadium, Mumbai",1,8,7,8.0,114.29,1,1,11.5,24.0,48.1,
Finn Allen,FA Allen,Kolkata Knight Riders,batter,"Dr DY Patil Sports Academy, Mumbai",,,,,,,,,,,
