file_id,innings,batting_team,phase,wicket_bucket,role,prior_matches,prior_wins,prior_win_rate
335999,2,Kings XI Punjab,pp,1,bat_second,1,0,
335999,2,Kings XI Punjab,middle,2,bat_second,2,1,
335999,2,Kings XI Punjab,death,0,bat_second,0,0,
336000,1,Rajasthan Royals,pp,1,bat_first,0,0,
336000,1,Rajasthan Royals,middle,3,bat_first,1,0,
336000,1,Rajasthan Royals,death,3,bat_first,0,0,
336000,2,Kolkata Knight Riders,pp,3,bat_second,1,1,
336000,2,Kolkata Knight Riders,middle,2,bat_second,0,0,
336000,2,Kolkata Knight Riders,death,3,bat_second,0,0,
336001,1,Chennai Super Kings,pp,1,bat_first,2,2,
336001,1,Chennai Super Kings,middle,2,bat_first,1,1,
336001,1,Chennai Super Kings,death,3,bat_first,0,0,
336001,2,Delhi Daredevils,pp,0,bat_second,0,0,
336001,2,Delhi Daredevils,middle,2,bat_second,0,0,
336001,2,Delhi Daredevils,death,0,bat_second,2,2,
336034,2,Deccan Chargers,pp,2,bat_second,0,0,
336034,2,Deccan Chargers,middle,0,bat_second,1,1,
336034,2,Deccan Chargers,death,3,bat_second,0,0,
336034,1,Royal Challengers Bangalore,pp,1,bat_first,0,0,
336034,1,Royal Challengers Bangalore,middle,3,bat_first,1,0,
336034,1,Royal Challengers Bangalore,death,3,bat_first,0,0,
336003,1,Kings XI Punjab,pp,1,bat_first,2,1,
336003,1,Kings XI Punjab,middle,3,bat_first,2,1,
336003,1,Kings XI Punjab,death,1,bat_first,0,0,
336003,2,Kolkata Knight Riders,pp,3,bat_second,2,1,
336003,2,Kolkata Knight Riders,middle,1,bat_second,1,1,
336003,2,Kolkata Knight Riders,death,1,bat_second,1,1,
336005,2,Rajasthan Royals,pp,0,bat_second,0,0,
336005,2,Rajasthan Royals,middle,2,bat_second,1,1,
336005,2,Rajasthan Royals,death,0,bat_second,1,1,
336004,1,Mumbai Indians,pp,2,bat_first,0,0,
336004,1,Mumbai Indians,middle,3,bat_first,0,0,
336004,1,Mumbai Indians,death,3,bat_first,1,0,
336004,2,Delhi Daredevils,pp,2,bat_second,0,0,
336004,2,Delhi Daredevils,middle,3,bat_second,0,0,
336004,2,Delhi Daredevils,death,3,bat_second,0,0,
336005,1,Chennai Super Kings,pp,3,bat_first,0,0,
336005,1,Chennai Super Kings,middle,3,bat_first,1,1,
336005,1,Chennai Super Kings,death,3,bat_first,1,0,
336006,1,Royal Challengers Bangalore,pp,3,bat_first,0,0,
336006,1,Royal Challengers Bangalore,middle,1,bat_first,0,0,
336006,1,Royal Challengers Bangalore,death,3,bat_first,1,1,
336006,2,Kings XI Punjab,pp,1,bat_second,2,1,
336006,2,Kings XI Punjab,middle,3,bat_second,0,0,
336006,2,Kings XI Punjab,death,0,bat_second,1,1,
336007,1,Chennai Super Kings,pp,3,bat_first,1,0,
336007,1,Chennai Super Kings,middle,3,bat_first,2,1,
336007,1,Chennai Super Kings,death,1,bat_first,1,1,
336007,2,Deccan Chargers,pp,1,bat_second,0,0,
336007,2,Deccan Chargers,middle,1,bat_second,0,0,
336007,2,Deccan Chargers,death,1,bat_second,0,0,
336008,1,Rajasthan Royals,pp,2,bat_first,1,0,
336008,1,Rajasthan Royals,middle,3,bat_first,2,1,
336008,1,Rajasthan Royals,death,3,bat_first,1,1,
336008,2,Mumbai Indians,pp,0,bat_second,0,0,
336008,2,Mumbai Indians,middle,3,bat_second,2,0,
336008,2,Mumbai Indians,death,0,bat_second,1,1,
336009,1,Delhi Daredevils,pp,2,bat_first,0,0,
336009,1,Delhi Daredevils,middle,0,bat_first,0,0,
336009,1,Delhi Daredevils,death,3,bat_first,2,1,
336009,2,Chennai Super Kings,pp,0,bat_second,1,1,
336009,2,Chennai Super Kings,middle,3,bat_second,0,0,
336009,2,Chennai Super Kings,death,2,bat_second,0,0,
336010,1,Kolkata Knight Riders,pp,2,bat_first,0,0,
336010,1,Kolkata Knight Riders,middle,3,bat_first,2,0,
336010,1,Kolkata Knight Riders,death,1,bat_first,1,1,
336010,2,Royal Challengers Bangalore,pp,2,bat_second,0,0,
336010,2,Royal Challengers Bangalore,middle,2,bat_second,1,0,
336010,2,Royal Challengers Bangalore,death,0,bat_second,0,0,
336011,1,Deccan Chargers,pp,0,bat_first,0,0,
336011,1,Deccan Chargers,middle,3,bat_first,3,0,0.0
336011,1,Deccan Chargers,death,3,bat_first,2,0,
336011,2,Rajasthan Royals,pp,0,bat_second,1,1,
336011,2,Rajasthan Royals,middle,1,bat_second,1,1,
336011,2,Rajasthan Royals,death,1,bat_second,1,1,
336013,2,Kings XI Punjab,pp,2,bat_second,1,1,
336013,2,Kings XI Punjab,middle,3,bat_second,1,1,
336013,2,Kings XI Punjab,death,3,bat_second,0,0,
336013,1,Chennai Super Kings,pp,2,bat_first,1,1,
336013,1,Chennai Super Kings,middle,1,bat_first,1,1,
336013,1,Chennai Super Kings,death,1,bat_first,2,1,
336014,1,Kolkata Knight Riders,pp,1,bat_first,1,1,
336014,1,Kolkata Knight Riders,middle,1,bat_first,1,1,
336014,1,Kolkata Knight Riders,death,2,bat_first,1,0,
336014,2,Deccan Chargers,pp,3,bat_second,0,0,
336014,2,Deccan Chargers,middle,3,bat_second,0,0,
336014,2,Deccan Chargers,death,1,bat_second,1,1,
336015,1,Delhi Daredevils,pp,1,bat_first,1,1,
336015,1,Delhi Daredevils,middle,3,bat_first,0,0,
336015,1,Delhi Daredevils,death,2,bat_first,0,0,
336015,2,Rajasthan Royals,pp,2,bat_second,1,1,
