full_name,data_name,team_2026,role,home_venue,career_bat_innings,career_runs,career_balls_faced,career_bat_avg,career_bat_sr,career_fours,career_sixes,career_bowl_innings,career_balls_bowled,career_wickets,career_runs_conceded,career_econ,career_bowl_sr,form5_bat_innings,form5_runs,form5_bat_avg,form5_bat_sr,form5_boundary_pct,form5_bowl_innings,form5_wickets,form5_econ,form5_bowl_sr,form5_bowl_dot_pct,recent_bat_innings,recent_runs,recent_bat_avg,recent_bat_sr,recent_bowl_innings,recent_wickets,recent_econ,recent_bowl_sr,bat_score,bowl_score,overall_score
Simarjeet Singh,Simarjeet Singh,Sunrisers Hyderabad,all-rounder,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",6,10,15,1.67,66.67,0,0,14,240,12,411,10.28,20.0,5,8,1.6,61.54,0.0,5,2,15.0,33.0,30.3,3,3,1.0,42.86,8,8,12.18,16.5,20.3,19.4,19.9
Sohail Tanvir,Sohail Tanvir,Rajasthan Royals,all-rounder,"Sawai Mansingh Stadium, Jaipur",5,36,29,7.2,124.14,3,1,11,247,24,275,6.68,10.3,5,36,7.2,124.14,13.8,5,11,7.33,9.8,40.7,,,,,,,,,50.4,87.4,68.9
Sumit Kumar,Sumit Kumar,Delhi Capitals,batter,"Arun Jaitley Stadium, Delhi",3,18,24,6.0,75.0,2,1,2,20,0,38,11.4,,3,18,6.0,75.0,12.5,2,0,11.4,,20.0,3,18,6.0,75.0,2,0,11.4,,5.0,0.0,4.0
Sunny Gupta,Sunny Gupta,Delhi Daredevils,bowler,,1,0,1,0.0,0.0,0,0,1,18,0,47,15.67,,1,0,0.0,0.0,0.0,1,0,15.67,,0.0,,,,,,,,,5.0,0.0,1.0
Sunny Singh,Sunny Singh,Kings XI Punjab,batter,,5,43,31,8.6,138.71,6,1,,,,,,,5,43,8.6,138.71,22.6,,,,,,,,,,,,,,57.0,0.0,45.6
T Henderson,T Henderson,Rajasthan Royals,bowler,"Sawai Mansingh Stadium, Jaipur",2,11,16,5.5,68.75,0,1,2,36,1,41,6.83,36.0,2,11,5.5,68.75,6.2,2,1,6.83,36.0,38.9,,,,,,,,,5.0,0.0,1.0
T Kohler-Cadmore,T Kohler-Cadmore,Rajasthan Royals,batter,"Sawai Mansingh Stadium, Jaipur",3,48,54,16.0,88.89,7,1,,,,,,,3,48,16.0,88.89,14.8,,,,,,3,48,16.0,88.89,,,,,5.0,0.0,4.0
T Kohli,T Kohli,Kings XI Punjab,batter,,3,11,19,3.67,57.89,0,1,,,,,,,3,11,3.67,57.89,5.3,,,,,,,,,,,,,,5.0,0.0,4.0
T Shamsi,T Shamsi,Rajasthan Royals,bowler,"Sawai Mansingh Stadium, Jaipur",1,2,4,2.0,50.0,0,0,5,120,3,185,9.25,40.0,1,2,2.0,50.0,0.0,5,3,9.25,40.0,23.3,,,,,,,,,5.0,24.4,20.5
T Taibu,T Taibu,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",3,31,26,10.33,119.23,3,0,,,,,,,3,31,10.33,119.23,11.5,,,,,,,,,,,,,,5.0,0.0,4.0
T Thushara,T Thushara,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",4,12,18,3.0,66.67,0,0,6,135,10,164,7.29,13.5,4,12,3.0,66.67,0.0,5,9,7.08,12.3,44.1,,,,,,,,,5.0,78.5,41.8
TD Paine,TD Paine,Pune Warriors,batter,,2,10,26,5.0,38.46,0,0,,,,,,,2,10,5.0,38.46,0.0,,,,,,,,,,,,,,5.0,0.0,4.0
