full_name,data_name,team_2026,role,home_venue,career_bat_innings,career_runs,career_balls_faced,career_bat_avg,career_bat_sr,career_fours,career_sixes,career_bowl_innings,career_balls_bowled,career_wickets,career_runs_conceded,career_econ,career_bowl_sr,form5_bat_innings,form5_runs,form5_bat_avg,form5_bat_sr,form5_boundary_pct,form5_bowl_innings,form5_wickets,form5_econ,form5_bowl_sr,form5_bowl_dot_pct,recent_bat_innings,recent_runs,recent_bat_avg,recent_bat_sr,recent_bowl_innings,recent_wickets,recent_econ,recent_bowl_sr,bat_score,bowl_score,overall_score
Y Gnaneswara Rao,Y Gnaneswara Rao,Kochi Tuskers Kerala,bowler,,1,19,17,19.0,111.76,3,0,1,6,0,7,7.0,,1,19,19.0,111.76,17.6,1,0,7.0,,50.0,,,,,,,,,5.0,0.0,1.0
Y Nagar,Y Nagar,Delhi Daredevils,all-rounder,,20,285,259,14.25,110.04,20,9,8,66,4,125,11.36,16.5,5,90,18.0,107.14,9.5,5,1,12.8,30.0,20.0,,,,,,,,,56.4,8.8,32.6
Y Prithvi Raj,Y Prithvi Raj,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",1,0,1,0.0,0.0,0,0,2,30,1,57,11.4,30.0,1,0,0.0,0.0,0.0,2,1,11.4,30.0,26.7,,,,,,,,,5.0,0.0,1.0
Y Venugopal Rao,Y Venugopal Rao,Sunrisers Hyderabad,all-rounder,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",52,985,836,18.94,117.82,77,37,20,216,7,338,9.39,30.9,5,71,14.2,112.7,12.7,5,0,10.8,,20.0,,,,,,,,,59.1,8.2,33.6
YA Abdulla,YA Abdulla,Kings XI Punjab,bowler,,1,0,1,0.0,0.0,0,0,11,209,15,311,8.93,13.9,1,0,0.0,0.0,0.0,5,2,10.29,47.5,30.5,,,,,,,,,5.0,28.7,24.0
YK Pathan,YK Pathan,Sunrisers Hyderabad,all-rounder,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",153,3204,2241,20.94,142.97,262,159,82,1147,46,1443,7.55,24.9,5,23,4.6,79.31,3.4,5,2,8.0,18.0,27.8,,,,,,,,,53.0,39.8,46.4
YV Dhull,YV Dhull,Delhi Capitals,batter,"Arun Jaitley Stadium, Delhi",3,16,23,5.33,69.57,1,0,,,,,,,3,16,5.33,69.57,4.3,,,,,,3,16,5.33,69.57,,,,,5.0,0.0,4.0
YV Takawale,YV Takawale,Royal Challengers Bangalore,batter,,10,192,178,19.2,107.87,26,3,,,,,,,5,104,20.8,114.29,19.8,,,,,,,,,,,,,,62.0,0.0,49.6
Yashpal Singh,Yashpal Singh,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",4,47,66,11.75,71.21,5,0,,,,,,,4,47,11.75,71.21,7.6,,,,,,,,,,,,,,5.0,0.0,4.0
Younis Khan,Younis Khan,Rajasthan Royals,batter,"Sawai Mansingh Stadium, Jaipur",1,3,7,3.0,42.86,0,0,,,,,,,1,3,3.0,42.86,0.0,,,,,,,,,,,,,,5.0,0.0,4.0
Yudhvir Singh,Yudhvir Singh,Rajasthan Royals,all-rounder,"Sawai Mansingh Stadium, Jaipur",4,22,16,5.5,137.5,1,2,9,138,8,257,11.17,17.2,4,22,5.5,137.5,18.8,5,4,12.31,19.5,37.2,4,22,5.5,137.5,9,8,11.17,17.2,5.0,21.6,13.3
Yuvraj Singh,Yuvraj Singh,Mumbai Indians,all-rounder,"Wankhede Stadium, Mumbai",126,2750,2120,21.83,129.72,217,149,73,869,39,1091,7.53,22.3,5,99,19.8,126.92,16.7,5,2,10.6,15.0,10.0,,,,,,,,,68.8,27.1,48.0
Z Khan,Z Khan,Delhi Daredevils,all-rounder,,27,117,141,4.33,82.98,11,2,99,2200,119,2860,7.8,18.5,5,10,2.0,38.46,3.8,5,4,7.63,25.8,29.1,,,,,,,,,24.2,53.6,38.9
